path                                                                           scope        prod  physical
crates/layerfs-workspace/src/changes.rs                                        reference    3002      5890
crates/layerfs-workspace/src/container.rs                                      reference     354       410
crates/layerfs-workspace/src/cow_tree.rs                                       reference     558      1027
crates/layerfs-workspace/src/daemon.rs                                         reference     236       294
crates/layerfs-workspace/src/docker.rs                                         reference     594       624
crates/layerfs-workspace/src/docker_engine.rs                                  reference     280       300
crates/layerfs-workspace/src/execution.rs                                      reference     812       877
crates/layerfs-workspace/src/file_io.rs                                        reference     712      1859
crates/layerfs-workspace/src/lib.rs                                            reference      75        82
crates/layerfs-workspace/src/lifecycle.rs                                      reference    1273      1980
crates/layerfs-workspace/src/live_backing.rs                                   reference     509      1225
crates/layerfs-workspace/src/output.rs                                         reference     221       271
crates/layerfs-workspace/src/projection.rs                                     reference     965      1149
crates/layerfs-workspace/src/reconcile.rs                                      reference     381       443
crates/layerfs-workspace/src/registry.rs                                       reference     295       368
crates/layerfs-workspace/src/remote_commit.rs                                  reference     472       730
crates/layerfs-workspace/src/session.rs                                        reference     357       406
crates/layerfs-workspace/src/snapshot_input.rs                                 reference     320       395
crates/layerfs-workspace/src/worker.rs                                         reference     158       218
crates/layerfs-workspace-core/src/backing.rs                                   reference      41       113
crates/layerfs-workspace-core/src/checkpoint.rs                                reference      97       102
crates/layerfs-workspace-core/src/file_edit.rs                                 reference    1210      1810
crates/layerfs-workspace-core/src/frozen.rs                                    reference     173       462
crates/layerfs-workspace-core/src/lib.rs                                       reference     271       538
crates/layerfs-workspace-core/src/limits.rs                                    reference      30        52
crates/layerfs-workspace-core/src/namespace.rs                                 reference     630       809
